,0
1330,515180
1331,948740
1332,1534980
1333,1123770
1334,1069650
1335,1517340
1336,1628070
1337,1324970
1338,1018800
1339,1936230
1340,1918520
1341,743900
1342,9900
1343,695680
1344,977880
1345,1233880
1346,455040
1347,1331220
1348,1948120
1349,1335830
1350,532210
1351,411890
1352,1555400
1353,481090
1354,581450
1355,790820
1356,938560
1357,963930
1358,302670
1359,1804460
1360,1196770
1361,1352080
1362,952040
1363,1072040
1364,1543030
1365,896000
1366,1283090
1367,1230140
1368,1318690
1369,293760
1370,969990
1371,1239320
1372,251150
1373,639490
1374,406550
1375,1281630
1376,466630
1377,1135300
1378,209160
1379,625960
1380,1578650
1381,1167450
1382,1926200
1383,1421790
1384,303310
1385,975680
1386,274170
1387,"872410,1427650"
1388,1819410
1389,1472560
1390,393010
1391,801860
1392,586200
1393,686200
1394,1305420
1395,347990
1396,485510
1397,630940
1398,1694600
1399,1036890
1400,1687550
1401,404014
1402,1072190
1403,1267910
1404,1764390
1405,1632320
1406,337000
1407,314160
1408,339340
1409,10
1410,1361620
1411,423580
1412,470220
1413,404013
1414,878463
1415,1428100
1416,342180
1417,283640
1418,2000380
1419,460920
1420,1490610
1421,10150
1422,1760030
1423,285190
1424,825630
1425,323220
1426,1359980
1427,1252750
1428,1472192
1429,1858303
1430,41700
1431,1215390
1432,1102310
1433,10500
1434,1389990
1435,1756130
1436,973760
1437,1206610
1438,1262580
1439,955900
1440,799200
1441,1055540
1442,1283091
1443,1227700
1444,1179710
1445,17480
1446,544810
1447,22320
1448,1291340
1449,768520
1450,1282550
1451,250760
1452,804490
1453,1419160
1454,1454400
1455,851100
1456,261640
1457,1138850
1458,1238000
1459,1288460
1460,244450
1461,1392960
1462,1763310
1463,404430
1464,423630
1465,1732330
1466,435400
1467,1648880
1468,675590
1469,1356222
1470,1581450
1471,1640650
1472,1238440
1473,493190
1474,234670
1475,236110
1476,1151050
1477,1859370
1478,1557310
1479,1694800
1480,274940
1481,986850
1482,268050
1483,2013950
1484,755500
1485,983970
1486,1303950
1487,1000360
1488,785300
1489,590380
1490,1599190
1491,1262560
1492,1015160
1493,425220
1494,1622941
1495,1227530
1496,1307580
1497,1079800
1498,573100
1499,675010
1500,1104380
1501,1235744
1502,1569630
1503,800370
1504,952860
1505,1773801
1506,900040
1507,1302240
1508,1088790
